,users,repos,user_links,Stars
0,babel,babel,https://github.com/babel,41.5k
1,nylas,nylas-mail,https://github.com/nylas,24.7k
2,swc-project,swc,https://github.com/swc-project,24.5k
3,kriasoft,react-starter-kit,https://github.com/kriasoft,21.6k
4,electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate,20.4k
5,avajs,ava,https://github.com/avajs,20.1k
6,SimulatedGREG,electron-vue,https://github.com/SimulatedGREG,15.1k
7,grab,front-end-guide,https://github.com/grab,14.6k
8,jamiebuilds,babel-handbook,https://github.com/jamiebuilds,11.3k
9,grommet,grommet,https://github.com/grommet,8.1k
10,developit,htm,https://github.com/developit,7.9k
11,ben-rogerson,twin.macro,https://github.com/ben-rogerson,6.4k
12,angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack,6.1k
13,documentationjs,documentation,https://github.com/documentationjs,5.6k
14,insin,nwb,https://github.com/insin,5.5k
15,thinkjs,thinkjs,https://github.com/thinkjs,5.3k
16,egoist,poi,https://github.com/egoist,5.3k
17,fkling,astexplorer,https://github.com/fkling,5.1k
18,transitive-bullshit,create-react-library,https://github.com/transitive-bullshit,4.7k
19,duxianwei520,react,https://github.com/duxianwei520,4.7k
