,users,repos,user_links,Stars
0,sindresorhus,awesome,https://github.com/sindresorhus,224k
1,vinta,awesome-python,https://github.com/vinta,145k
2,awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted,107k
3,avelino,awesome-go,https://github.com/avelino,90.1k
4,trimstray,the-book-of-secret-knowledge,https://github.com/trimstray,81.3k
5,papers-we-love,papers-we-love,https://github.com/papers-we-love,65.3k
6,521xueweihan,HelloGitHub,https://github.com/521xueweihan,60.7k
7,Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github,57.5k
8,jaywcjlove,awesome-mac,https://github.com/jaywcjlove,54.4k
9,DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ,50.7k
10,sindresorhus,awesome-nodejs,https://github.com/sindresorhus,47.6k
11,MunGell,awesome-for-beginners,https://github.com/MunGell,45k
12,wasabeef,awesome-android-ui,https://github.com/wasabeef,44.3k
13,Solido,awesome-flutter,https://github.com/Solido,43.7k
14,prakhar1989,awesome-courses,https://github.com/prakhar1989,43.5k
15,binhnguyennus,awesome-scalability,https://github.com/binhnguyennus,41.5k
16,fffaraz,awesome-cpp,https://github.com/fffaraz,41.3k
17,vsouza,awesome-ios,https://github.com/vsouza,41k
18,tiimgreen,github-cheat-sheet,https://github.com/tiimgreen,37.5k
19,dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon,35.6k
