,users,repos,user_links,Stars
0,jwasham,coding-interview-university,https://github.com/jwasham,237k
1,CyC2018,CS-Notes,https://github.com/CyC2018,158k
2,trekhleb,javascript-algorithms,https://github.com/trekhleb,154k
3,TheAlgorithms,Python,https://github.com/TheAlgorithms,148k
4,yangshun,tech-interview-handbook,https://github.com/yangshun,80.3k
5,kdn251,interviews,https://github.com/kdn251,58.5k
6,azl397985856,leetcode,https://github.com/azl397985856,49.7k
7,TheAlgorithms,Java,https://github.com/TheAlgorithms,48.7k
8,algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer,39.3k
9,youngyangyang04,leetcode-master,https://github.com/youngyangyang04,32.8k
10,halfrost,LeetCode-Go,https://github.com/halfrost,27.7k
11,crossoverJie,JCSprout,https://github.com/crossoverJie,26.9k
12,donnemartin,interactive-coding-challenges,https://github.com/donnemartin,26.4k
13,huihut,interview,https://github.com/huihut,26.4k
14,TheAlgorithms,JavaScript,https://github.com/TheAlgorithms,23.5k
15,TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms,22.2k
16,keon,algorithms,https://github.com/keon,21.8k
17,trekhleb,homemade-machine-learning,https://github.com/trekhleb,20.4k
18,mxgmn,WaveFunctionCollapse,https://github.com/mxgmn,20.1k
19,AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai,16.6k
