,users,repos,user_links,Stars
0,arendst,Tasmota,https://github.com/arendst,18.5k
1,MarlinFirmware,Marlin,https://github.com/MarlinFirmware,13.9k
2,arduino,Arduino,https://github.com/arduino,13.3k
3,rwaldron,johnny-five,https://github.com/rwaldron,12.8k
4,tinygo-org,tinygo,https://github.com/tinygo-org,11.8k
5,SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech,10.7k
6,espressif,arduino-esp32,https://github.com/espressif,9.5k
7,hybridgroup,gobot,https://github.com/hybridgroup,8k
8,gurugio,lowlevelprogramming-university,https://github.com/gurugio,7.9k
9,platformio,platformio-core,https://github.com/platformio,6.2k
10,bblanchon,ArduinoJson,https://github.com/bblanchon,5.9k
11,tzapu,WiFiManager,https://github.com/tzapu,5.5k
12,hybridgroup,cylon,https://github.com/hybridgroup,3.9k
13,Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote,3.8k
14,arduino,arduino-cli,https://github.com/arduino,3.6k
15,blynkkk,blynk-library,https://github.com/blynkkk,3.5k
16,olikraus,u8g2,https://github.com/olikraus,3.4k
17,NectarJS,nectarjs,https://github.com/NectarJS,3.4k
18,ClemensElflein,OpenMower,https://github.com/ClemensElflein,3.3k
19,Serial-Studio,Serial-Studio,https://github.com/Serial-Studio,2.9k
