,users,repos,user_links,Stars
0,bregman-arie,devops-exercises,https://github.com/bregman-arie,32.3k
1,microsoft,recommenders,https://github.com/microsoft,14.3k
2,pulumi,pulumi,https://github.com/pulumi,14.1k
3,ramitsurana,awesome-kubernetes,https://github.com/ramitsurana,13.2k
4,Azure,azure-quickstart-templates,https://github.com/Azure,12.3k
5,mozilla,sops,https://github.com/mozilla,11.1k
6,caprover,caprover,https://github.com/caprover,9.4k
7,microsoft,computervision-recipes,https://github.com/microsoft,8.7k
8,google,go-cloud,https://github.com/google,8.6k
9,infracost,infracost,https://github.com/infracost,8.1k
10,microsoft,azuredatastudio,https://github.com/microsoft,6.9k
11,node-formidable,formidable,https://github.com/node-formidable,6.4k
12,midwayjs,midway,https://github.com/midwayjs,6.2k
13,thangchung,clean-code-dotnet,https://github.com/thangchung,5.5k
14,aquasecurity,tfsec,https://github.com/aquasecurity,5.3k
15,budtmo,docker-android,https://github.com/budtmo,5.1k
16,bridgecrewio,checkov,https://github.com/bridgecrewio,4.8k
17,nccgroup,ScoutSuite,https://github.com/nccgroup,4.8k
18,cloud-custodian,cloud-custodian,https://github.com/cloud-custodian,4.5k
19,Azure,azure-sdk-for-net,https://github.com/Azure,4k
