,users,repos,user_links,Stars
0,localstack,localstack,https://github.com/localstack,44.3k
1,serverless,serverless,https://github.com/serverless,43.7k
2,bregman-arie,devops-exercises,https://github.com/bregman-arie,32.3k
3,donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin,24.1k
4,pulumi,pulumi,https://github.com/pulumi,14.1k
5,ramitsurana,awesome-kubernetes,https://github.com/ramitsurana,13.2k
6,kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs,13.1k
7,aws,aws-cli,https://github.com/aws,13k
8,mozilla,sops,https://github.com/mozilla,11.1k
9,donnemartin,awesome-aws,https://github.com/donnemartin,10.9k
10,apereo,cas,https://github.com/apereo,9.8k
11,caprover,caprover,https://github.com/caprover,9.4k
12,aws,aws-cdk,https://github.com/aws,9.4k
13,serverless-stack,sst,https://github.com/serverless-stack,9.4k
14,aws,chalice,https://github.com/aws,9.3k
15,aws-amplify,amplify-js,https://github.com/aws-amplify,9k
16,angristan,openvpn-install,https://github.com/angristan,8.9k
17,GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform,8.9k
18,aws,serverless-application-model,https://github.com/aws,8.8k
19,google,go-cloud,https://github.com/google,8.6k
