,users,repos,user_links,Stars
0,bitcoin,bitcoin,https://github.com/bitcoin,66.7k
1,ccxt,ccxt,https://github.com/ccxt,26.2k
2,freqtrade,freqtrade,https://github.com/freqtrade,19.7k
3,HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet,17.7k
4,askmike,gekko,https://github.com/askmike,9.9k
5,solana-labs,solana,https://github.com/solana-labs,9.6k
6,bbfamily,abu,https://github.com/bbfamily,9.4k
7,dvf,blockchain,https://github.com/dvf,7.2k
8,lbryio,lbry-sdk,https://github.com/lbryio,7.2k
9,lightningnetwork,lnd,https://github.com/lightningnetwork,6.4k
10,yeasy,blockchain_guide,https://github.com/yeasy,6.3k
11,spesmilo,electrum,https://github.com/spesmilo,6k
12,butor,blackbird,https://github.com/butor,5.6k
13,btcsuite,btcd,https://github.com/btcsuite,5k
14,bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs,4.7k
15,bitcoinj,bitcoinj,https://github.com/bitcoinj,4.4k
16,jesse-ai,jesse,https://github.com/jesse-ai,4.3k
17,CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal,4.2k
18,bisq-network,bisq,https://github.com/bisq-network,4.1k
19,coinpride,CryptoList,https://github.com/coinpride,3.9k
