,users,repos,user_links,Stars
0,justjavac,free-programming-books-zh_CN,https://github.com/justjavac,96.3k
1,angular,angular,https://github.com/angular,84.5k
2,storybookjs,storybook,https://github.com/storybookjs,74.8k
3,leonardomso,33-js-concepts,https://github.com/leonardomso,52.4k
4,ionic-team,ionic-framework,https://github.com/ionic-team,48.2k
5,prettier,prettier,https://github.com/prettier,44.1k
6,SheetJS,sheetjs,https://github.com/SheetJS,31.6k
7,Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh,28.8k
8,angular,angular-cli,https://github.com/angular,25.7k
9,angular,components,https://github.com/angular,23k
10,NativeScript,NativeScript,https://github.com/NativeScript,21.7k
11,jhipster,generator-jhipster,https://github.com/jhipster,20.1k
12,goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni,19.3k
13,pubkey,rxdb,https://github.com/pubkey,18.3k
14,handsontable,handsontable,https://github.com/handsontable,17.2k
15,teambit,bit,https://github.com/teambit,16k
16,sweetalert2,sweetalert2,https://github.com/sweetalert2,15.2k
17,nrwl,nx,https://github.com/nrwl,15.1k
18,sudheerj,javascript-interview-questions,https://github.com/sudheerj,12.5k
19,wailsapp,wails,https://github.com/wailsapp,12.5k
