,users,repos,user_links,Stars
0,jlevy,the-art-of-command-line,https://github.com/jlevy,114k
1,nvm-sh,nvm,https://github.com/nvm-sh,62k
2,junegunn,fzf,https://github.com/junegunn,47.8k
3,google,zx,https://github.com/google,34.8k
4,dylanaraps,pure-bash-bible,https://github.com/dylanaraps,32.4k
5,LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa,31.1k
6,koalaman,shellcheck,https://github.com/koalaman,30.3k
7,starship,starship,https://github.com/starship,30k
8,acmesh-official,acme.sh,https://github.com/acmesh-official,28.8k
9,mathiasbynens,dotfiles,https://github.com/mathiasbynens,28.4k
10,alebcay,awesome-shell,https://github.com/alebcay,25.3k
11,jaywcjlove,linux-command,https://github.com/jaywcjlove,21k
12,withfig,autocomplete,https://github.com/withfig,20.5k
13,dylanaraps,neofetch,https://github.com/dylanaraps,16.5k
14,Nyr,openvpn-install,https://github.com/Nyr,16k
15,rbenv,rbenv,https://github.com/rbenv,14.5k
16,powerline,powerline,https://github.com/powerline,13.6k
17,shelljs,shelljs,https://github.com/shelljs,13.5k
18,Bash-it,bash-it,https://github.com/Bash-it,13.2k
19,faressoft,terminalizer,https://github.com/faressoft,13.1k
