,users,repos,user_links,Stars
0,atom,atom,https://github.com/atom,58.6k
1,themerdev,themer,https://github.com/themerdev,4.9k
2,miniflux,v2,https://github.com/miniflux,4.2k
3,nteract,hydrogen,https://github.com/nteract,3.8k
4,shd101wyy,markdown-preview-enhanced,https://github.com/shd101wyy,3.8k
5,atom,teletype,https://github.com/atom,2.4k
6,mmcdole,gofeed,https://github.com/mmcdole,2k
7,mehcode,awesome-atom,https://github.com/mehcode,1.9k
8,joefitzgerald,go-plus,https://github.com/joefitzgerald,1.5k
9,Glavin001,atom-beautify,https://github.com/Glavin001,1.5k
10,kurtmckee,feedparser,https://github.com/kurtmckee,1.5k
11,simplepie,simplepie,https://github.com/simplepie,1.5k
12,ocaml,merlin,https://github.com/ocaml,1.4k
13,t9md,atom-vim-mode-plus,https://github.com/t9md,1.4k
14,MagicStack,MagicPython,https://github.com/MagicStack,1.3k
15,atom,apm,https://github.com/atom,1.3k
16,file-icons,atom,https://github.com/file-icons,1.2k
17,kettanaito,atomic-layout,https://github.com/kettanaito,1.1k
18,fwcd,kotlin-language-server,https://github.com/fwcd,1.1k
19,atom,github,https://github.com/atom,1.1k
