,users,repos,user_links,Stars
0,flutter,flutter,https://github.com/flutter,146k
1,justjavac,free-programming-books-zh_CN,https://github.com/justjavac,96.3k
2,Genymobile,scrcpy,https://github.com/Genymobile,72.1k
3,Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github,57.5k
4,google,material-design-icons,https://github.com/google,46.7k
5,wasabeef,awesome-android-ui,https://github.com/wasabeef,44.3k
6,Solido,awesome-flutter,https://github.com/Solido,43.7k
7,square,okhttp,https://github.com/square,43.1k
8,android,architecture-samples,https://github.com/android,41.7k
9,square,retrofit,https://github.com/square,40.7k
10,dcloudio,uni-app,https://github.com/dcloudio,37.3k
11,fastlane,fastlane,https://github.com/fastlane,36k
12,PhilJay,MPAndroidChart,https://github.com/PhilJay,35.8k
13,airbnb,lottie-android,https://github.com/airbnb,33.3k
14,bumptech,glide,https://github.com/bumptech,33.1k
15,shadowsocks,shadowsocks-android,https://github.com/shadowsocks,33k
16,laurent22,joplin,https://github.com/laurent22,32.7k
17,skylot,jadx,https://github.com/skylot,32.1k
18,Blankj,AndroidUtilCode,https://github.com/Blankj,31.5k
19,xitu,gold-miner,https://github.com/xitu,31.5k
